title,release_date,genre,director
Toy Story,1995-10-30,Animation,
Jumanji,1995-12-15,Adventure,
Grumpier Old Men,1995-12-22,Romance,
Waiting to Exhale,1995-12-22,Comedy,
Father of the Bride Part II,1995-02-10,Comedy,
Heat,1995-12-15,Action,
Sabrina,1995-12-15,Comedy,
Tom and Huck,1995-12-22,Action,
Sudden Death,1995-12-22,Action,
GoldenEye,1995-11-16,Adventure,
The American President,1995-11-17,Comedy,
Dracula: Dead and Loving It,1995-12-22,Comedy,
Balto,1995-12-22,Family,
Nixon,1995-12-22,History,
Cutthroat Island,1995-12-22,Action,
Casino,1995-11-22,Drama,
Sense and Sensibility,1995-12-13,Drama,
Four Rooms,1995-12-09,Crime,
Ace Ventura: When Nature Calls,1995-11-10,Crime,
Money Train,1995-11-21,Action,
Get Shorty,1995-10-20,Comedy,
Copycat,1995-10-27,Drama,
Assassins,1995-10-06,Action,
Powder,1995-10-27,Drama,
Leaving Las Vegas,1995-10-27,Drama,
Othello,1995-12-15,Drama,
Now and Then,1995-10-20,Comedy,
Persuasion,1995-09-27,Drama,
The City of Lost Children,1995-05-16,Fantasy,
Shanghai Triad,1995-04-30,Drama,
Dangerous Minds,1995-08-11,Drama,
Twelve Monkeys,1995-12-29,Science Fiction,
Wings of Courage,1996-09-18,Romance,
Babe,1995-07-18,Fantasy,
Carrington,1995-11-08,History,
Dead Man Walking,1995-12-29,Drama,
Across the Sea of Time,1995-10-20,Adventure,
It Takes Two,1995-11-17,Comedy,
Clueless,1995-07-19,Comedy,
"Cry, the Beloved Country",1995-12-15,Drama,
Richard III,1995-12-29,Drama,
Dead Presidents,1995-10-06,Action,
Restoration,1995-12-29,Drama,
Mortal Kombat,1995-08-18,Action,
To Die For,1995-05-20,Fantasy,
How To Make An American Quilt,1995-10-06,Drama,
Se7en,1995-09-22,Crime,
Pocahontas,1995-06-14,Adventure,
When Night Is Falling,1995-05-05,Drama,
The Usual Suspects,1995-07-19,Drama,
Guardian Angel,1994-11-22,Action,
Mighty Aphrodite,1995-09-13,Comedy,
Lamerica,1994-01-01,Drama,
The Big Green,1995-09-29,Action,
Georgia,1995-05-19,Drama,
Kids of the Round Table,1997-07-08,,
Home for the Holidays,1995-11-02,Comedy,
The Postman,1994-09-22,Comedy,
The Confessional,1995-09-29,Thriller,
The Indian in the Cupboard,1995-07-14,Adventure,
Eye for an Eye,1996-01-12,Drama,
Mr. Holland's Opus,1995-12-29,Music,
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,Comedy,
Two If by Sea,1996-01-12,Comedy,
Bio-Dome,1996-01-12,Comedy,
Lawnmower Man 2: Beyond Cyberspace,1996-01-12,Action,
Two Bits,1995-10-22,Drama,
French Twist,1995-02-08,Comedy,
Friday,1995-04-26,Comedy,
From Dusk Till Dawn,1996-01-19,Horror,
Fair Game,1995-11-03,Action,
Kicking and Screaming,1995-10-06,Comedy,
Les Miserables,1995-03-22,Drama,
Bed of Roses,1996-01-26,Drama,
Big Bully,1996-01-26,Comedy,
Screamers,1995-09-08,Horror,
Nico Icon,1995-02-18,Documentary,
The Crossing Guard,1995-11-15,Drama,
The Juror,1996-02-02,Drama,
The White Balloon,1995-01-01,Family,
Things to Do in Denver When You're Dead,1995-12-01,Drama,
Antonia's Line,1995-09-12,Drama,
Once Upon a Time... When We Were Colored,1996-01-26,Romance,
Last Summer in the Hamptons,1995-11-22,,
Angels and Insects,1995-09-10,Drama,
White Squall,1996-02-02,Action,
Dunston Checks In,1996-01-12,Adventure,
Black Sheep,1996-02-01,Comedy,
Nick of Time,1995-11-22,Crime,
The Journey of August King,1995-09-14,Drama,
Mary Reilly,1996-02-23,Drama,
Vampire in Brooklyn,1995-10-26,Comedy,
Beautiful Girls,1996-02-09,Comedy,
Broken Arrow,1996-02-09,Action,
A Midwinter's Tale,1995-12-01,Comedy,
La Haine,1995-05-31,Drama,
Shopping,1994-12-06,Action,
Heidi Fleiss: Hollywood Madam,1995-12-27,Documentary,
City Hall,1996-02-16,Drama,
Bottle Rocket,1996-02-21,Comedy,
Mr. Wrong,1996-02-16,Comedy,
Unforgettable,1996-02-23,Drama,
Happy Gilmore,1996-02-16,Comedy,
The Bridges of Madison County,1995-05-28,Drama,
Nobody Loves Me,1994-11-07,Drama,
Muppet Treasure Island,1996-02-16,Action,
Catwalk,1995-12-08,Documentary,
Headless Body in Topless Bar,1995-05-20,Crime,
Braveheart,1995-05-24,Action,
Taxi Driver,1976-02-07,Crime,
Rumble in the Bronx,1995-01-30,Crime,
Before and After,1996-02-23,Drama,
Margaret's Museum,1995-09-13,Drama,
Happiness Is in the Field,1995-01-31,Comedy,
Anne Frank Remembered,1995-06-08,Documentary,
The Young Poisoner's Handbook,1995-01-20,Comedy,
If Lucy Fell,1996-03-08,Comedy,
Steal Big Steal Little,1995-09-29,Comedy,
Race the Sun,1996-03-22,Action,
The Boys of St. Vincent,1992-12-06,Drama,
Boomerang,1992-06-30,Comedy,
Chungking Express,1994-07-14,Drama,
The Star Maker,1995-09-21,Drama,
Flirting with Disaster,1996-03-22,Comedy,
The Neverending Story III: Escape from Fantasia,1994-10-26,Fantasy,
The Silences of the Palace,1994-09-30,Drama,
Jupiter's Wife,1995-01-01,,
Pie in the Sky,1996-02-09,Comedy,
Angela,1995-01-01,Comedy,
Frankie Starlight,1995-11-22,Drama,
Jade,1995-10-13,Action,
Nueba Yol,1995-08-16,Comedy,
Sonic Outlaws,1995-08-01,Music,
Down Periscope,1996-03-01,Comedy,
From the Journals of Jean Seberg,1995-09-08,Documentary,
Man of the Year,1995-09-15,Comedy,
The Neon Bible,1995-08-23,Drama,
Target,1995-08-01,,
Up Close & Personal,1996-03-01,Drama,
The Birdcage,1996-03-08,Comedy,
Virgin Mary,1995-10-12,Drama,
The Brothers McMullen,1995-08-09,Comedy,
Bad Boys,1995-04-07,Action,
The Amazing Panda Adventure,1995-08-25,Action,
The Basketball Diaries,1995-04-21,Drama,
An Awfully Big Adventure,1995-07-21,Romance,
Amateur,1994-08-05,Crime,
Apollo 13,1995-06-30,Drama,
Rob Roy,1995-04-13,Adventure,
The Addiction,1995-01-10,Drama,
Batman Forever,1995-06-16,Action,
Belle de Jour,1967-05-24,Drama,
Beyond Rangoon,1995-05-24,Drama,
Blue in the Face,1995-09-15,Comedy,
Canadian Bacon,1995-06-08,Action,
Casper,1995-05-26,Fantasy,
Clockers,1995-09-15,Mystery,
Congo,1995-06-09,Action,
Crimson Tide,1995-05-12,Action,
Crumb,1994-09-10,Documentary,
Desperado,1995-08-25,Thriller,
